SST(K),DATE,SST(degC),CW(degC),DelT
303.446072270483,15/05/2000,30.446072270483,9,21.446072270483
303.294946343826,16/05/2000,30.294946343826,9,21.294946343826
303.153535655312,17/05/2000,30.153535655312,9,21.153535655312
303.058326321519,18/05/2000,30.058326321519,9,21.058326321519
303.052713072814,19/05/2000,30.052713072814,9,21.052713072814
303.122590822711,20/05/2000,30.122590822711,9,21.122590822711
303.221686251762,21/05/2000,30.221686251762,9,21.221686251762
303.300775486712,22/05/2000,30.300775486712,9,21.300775486712
303.31272163139,23/05/2000,30.31272163139,9,21.31272163139
303.245866400026,24/05/2000,30.245866400026,9,21.245866400026
303.136695909199,25/05/2000,30.136695909199,9,21.136695909199
303.007807083179,26/05/2000,30.007807083179,9,21.007807083179
302.884027752775,27/05/2000,29.884027752775,9,20.884027752775
302.789538066252,28/05/2000,29.789538066252,9,20.789538066252
302.752476231857,29/05/2000,29.752476231857,9,20.752476231857
302.768092577612,30/05/2000,29.768092577612,9,20.768092577612
302.809544260352,31/05/2000,29.809544260352,9,20.809544260352
302.849628613279,01/06/2000,29.849628613279,9,20.849628613279
302.863733699767,02/06/2000,29.863733699767,9,20.863733699767
302.847685565651,03/06/2000,29.847685565651,9,20.847685565651
302.814941614875,04/06/2000,29.814941614875,9,20.814941614875
302.757081974384,05/06/2000,29.757081974384,9,20.757081974384
302.667701783476,06/06/2000,29.667701783476,9,20.667701783476
302.541043863993,07/06/2000,29.541043863993,9,20.541043863993
302.42604423028,08/06/2000,29.42604423028,9,20.42604423028
302.354223432755,09/06/2000,29.354223432755,9,20.354223432755
302.291470190829,10/06/2000,29.291470190829,9,20.291470190829
302.202377858829,11/06/2000,29.202377858829,9,20.202377858829
302.051755685261,12/06/2000,29.051755685261,9,20.051755685261
301.887963966657,13/06/2000,28.887963966657,9,19.887963966657
301.773468086033,14/06/2000,28.773468086033,9,19.773468086033
301.687973990382,15/06/2000,28.687973990382,9,19.687973990382
301.614282109955,16/06/2000,28.614282109955,9,19.614282109955
301.534689121916,17/06/2000,28.534689121916,9,19.534689121916
301.469704973454,18/06/2000,28.469704973454,9,19.469704973454
301.441134976843,19/06/2000,28.441134976843,9,19.441134976843
301.436745128498,20/06/2000,28.436745128498,9,19.436745128498
301.439911576485,21/06/2000,28.439911576485,9,19.439911576485
301.437464775767,22/06/2000,28.437464775767,9,19.437464775767
301.404576895538,23/06/2000,28.404576895538,9,19.404576895538
301.342759195063,24/06/2000,28.342759195063,9,19.342759195063
301.27468056334,25/06/2000,28.27468056334,9,19.27468056334
301.228263314439,26/06/2000,28.228263314439,9,19.228263314439
301.227543667169,27/06/2000,28.227543667169,9,19.227543667169
301.244167519101,28/06/2000,28.244167519101,9,19.244167519101
301.243375907105,29/06/2000,28.243375907105,9,19.243375907105
301.240713212206,30/06/2000,28.240713212206,9,19.240713212206
301.255106157602,01/07/2000,28.255106157602,9,19.255106157602
301.300803759234,02/07/2000,28.300803759234,9,19.300803759234
301.332971992194,03/07/2000,28.332971992194,9,19.332971992194
301.314692951541,04/07/2000,28.314692951541,9,19.314692951541
301.273960916071,05/07/2000,28.273960916071,9,19.273960916071
301.245606813641,06/07/2000,28.245606813641,9,19.245606813641
301.257337064138,07/07/2000,28.257337064138,9,19.257337064138
301.2868426022,08/07/2000,28.2868426022,9,19.2868426022
301.29519051053,09/07/2000,28.29519051053,9,19.29519051053
301.290009050187,10/07/2000,28.290009050187,9,19.290009050187
301.279070411686,11/07/2000,28.279070411686,9,19.279070411686
301.270002856087,12/07/2000,28.270002856087,9,19.270002856087
301.239993564937,13/07/2000,28.239993564937,9,19.239993564937
301.178967476458,14/07/2000,28.178967476458,9,19.178967476458
301.114271186904,15/07/2000,28.114271186904,9,19.114271186904
301.071811997986,16/07/2000,28.071811997986,9,19.071811997986
301.079080435411,17/07/2000,28.079080435411,9,19.079080435411
301.107434537841,18/07/2000,28.107434537841,9,19.107434537841
301.123050883595,19/07/2000,28.123050883595,9,19.123050883595
301.14795067913,20/07/2000,28.14795067913,9,19.14795067913
301.203147624723,21/07/2000,28.203147624723,9,19.203147624723
301.310806856284,22/07/2000,28.310806856284,9,19.310806856284
301.415515534039,23/07/2000,28.415515534039,9,19.415515534039
301.463587971661,24/07/2000,28.463587971661,9,19.463587971661
301.48265862431,25/07/2000,28.48265862431,9,19.48265862431
301.497771216976,26/07/2000,28.497771216976,9,19.497771216976
301.538071464084,27/07/2000,28.538071464084,9,19.538071464084
301.603487400908,28/07/2000,28.603487400908,9,19.603487400908
301.657245051962,29/07/2000,28.657245051962,9,19.657245051962
301.676027845703,30/07/2000,28.676027845703,9,19.676027845703
301.63011434989,31/07/2000,28.63011434989,9,19.63011434989
301.494388874808,01/08/2000,28.494388874808,9,19.494388874808
301.328366249667,02/08/2000,28.328366249667,9,19.328366249667
301.194080069124,03/08/2000,28.194080069124,9,19.194080069124
301.073251292526,04/08/2000,28.073251292526,9,19.073251292526
300.947528914493,05/08/2000,27.947528914493,9,18.947528914493
300.799569435824,06/08/2000,27.799569435824,9,18.799569435824
300.699970253685,07/08/2000,27.699970253685,9,18.699970253685
300.703352595853,08/08/2000,27.703352595853,9,18.703352595853
300.764378684331,09/08/2000,27.764378684331,9,18.764378684331
300.832241421873,10/08/2000,27.832241421873,9,18.832241421873
300.86304232502,11/08/2000,27.86304232502,9,18.86304232502
300.830586233152,12/08/2000,27.830586233152,9,18.830586233152
300.768336744315,13/08/2000,27.768336744315,9,18.768336744315
300.717025893979,14/08/2000,27.717025893979,9,18.717025893979
300.713355692903,15/08/2000,27.713355692903,9,18.713355692903
300.797122635107,16/08/2000,27.797122635107,9,18.797122635107
300.952422515928,17/08/2000,27.952422515928,9,18.952422515928
301.121611589056,18/08/2000,28.121611589056,9,19.121611589056
301.274896457521,19/08/2000,28.274896457521,9,19.274896457521
301.38521838398,20/08/2000,28.38521838398,9,19.38521838398
301.421632535832,21/08/2000,28.421632535832,9,19.421632535832
301.358375540817,22/08/2000,28.358375540817,9,19.358375540817
301.216533063941,23/08/2000,28.216533063941,9,19.216533063941
